label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,major_axis_length,minor_axis_length,area_bbox,extent,area_filled,area_convex,euler_number,intensity_max-0,intensity_max-1,intensity_mean-0,intensity_mean-1,intensity_min-0,intensity_min-1,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,inertia_tensor_eigvals-2,solidity,well_area
62,38.36369853645192,1875.5653125427439,1978.3102174805088,35,1847,1948,44,1906,2012,7311,64.80207342686039,6.568343733229573,33984,0.2151306497175141,7311,15093,-1,4226.0,941.0,683.2555054028177,341.20626453289566,88.0,117.0,388.72738900283593,212.12259299090303,180.91910995171853,0.4843967402106937,18064950
63,69.73185786576211,3374.146999944392,1373.678613134627,63,3333,1337,78,3426,1410,35966,90.87783790284679,11.493735800630027,101835,0.3531791623705013,35968,53807,1,703.0,1507.0,186.85416782516822,423.1271756659067,121.0,176.0,697.4625419877841,419.54436922753905,291.1287690257135,0.6684260412214024,18064950
64,77.26008383422968,1673.9763721923441,204.262693767795,69,1631,140,85,1723,259,50576,126.47284999837515,11.712845126915159,175168,0.2887285348922178,50615,83057,-6,4279.0,1227.0,466.6507632078456,256.2787092692186,106.0,123.0,1182.6194148777654,806.6286263839302,389.70986259054524,0.6089312159119641,18064950
65,55.032726715202315,1711.272792317306,3449.728759460502,40,1633,3376,71,1790,3533,215237,154.52845559023268,21.284730154057435,764119,0.2816799477568285,215361,321049,21,5622.0,3966.0,432.0368012934579,360.32980853663634,125.0,168.0,2153.93536184146,1216.6041662416778,982.6351693728861,0.6704179112845703,18064950
66,69.00207027090974,592.1407192712646,2068.2381403052173,64,557,2024,76,649,2112,16906,88.63891419585407,11.157934287575136,97152,0.17401597496706192,16906,42630,-17,5682.0,194.0,976.6686383532474,141.2837454158287,446.0,103.0,681.129952575001,399.0678303692913,294.51207196229416,0.3965751817968567,18064950
67,96.0314315270152,1341.0188589162092,20.873159863133605,91,1269,0,101,1390,43,12567,124.26707085691724,10.78386626752491,52030,0.24153373054007304,12567,30863,-9,3724.0,1477.0,774.1211108458662,185.04917641441872,179.0,98.0,870.291477446725,777.9298335516977,103.99082106261349,0.407186598840035,18064950
68,97.08887933997937,1467.9658645582674,4414.790890340323,91,1404,4337,101,1531,4476,58180,153.27763203570166,9.001185994465915,176530,0.32957570951113124,58202,96623,-23,2528.0,2743.0,529.9084221381918,327.6287383980749,144.0,147.0,1817.0184681796509,1178.7526915889462,646.3679115214017,0.6021340674580586,18064950
69,39.46456408403448,3217.150054199143,1873.2401280132142,34,3169,1845,47,3261,1913,19373,86.61820664384427,9.561956548030953,81328,0.23820824316348613,19373,33193,1,4013.0,1072.0,952.3387704537242,182.58307954369482,212.0,120.0,565.8182000413594,379.707236761107,195.2540645828956,0.5836471545205314,18064950
70,81.14463840399003,2730.896976309227,3933.28569201995,75,2714,3909,87,2747,3960,6416,55.163922816874646,8.722205255601082,20196,0.3176866706278471,6416,8786,1,239.0,1369.0,159.1444825436409,446.5057668329177,123.0,244.0,195.14721715876618,155.9567622533469,46.798141357502786,0.7302526747097655,18064950
71,62.8856286142643,2145.399014778325,3708.87272435211,55,2095,3655,73,2199,3759,37352,110.53255214937491,13.758163607549093,194688,0.19185568704799474,37360,103548,-70,2171.0,296.0,631.1202077532662,188.9490522595845,266.0,139.0,1120.4766785331053,620.3366075253186,519.0687775929955,0.3607215977131379,18064950
72,25.768175819131233,1751.4948069088196,2126.0418890227807,21,1715,2082,32,1800,2158,17427,98.53761887125779,8.61007011891764,71060,0.24524345623416832,17427,28758,-4,4834.0,248.0,1460.6644287599702,157.12061743271934,395.0,111.0,626.8914370745979,489.1897820134969,145.11498580636885,0.6059878990194033,18064950
73,35.51859030782961,1760.2780924807626,1675.476435101838,21,1676,1561,53,1850,1766,326057,196.04323148882045,22.95825527224451,1141440,0.2856540860667227,326261,521824,-156,6270.0,3117.0,515.3105499958597,308.7291761869857,150.0,160.0,3193.6757334032036,1948.0015048862392,1298.3823770315187,0.6248409425400135,18064950
74,57.7052345066739,945.3533582595555,2540.3953873573682,49,872,2480,67,1027,2615,103238,155.83470466673984,14.22063033122771,376650,0.27409531395194475,103257,182014,0,2973.0,1982.0,420.5559193320289,321.7413839865166,120.0,144.0,1909.875744280133,1224.3340752793733,705.764301702503,0.567198127616557,18064950
